City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Luderitz,NA,2022-06-16 04:25:00,-26.6481,15.1594,61.41,37,2,14.72
243,Flinders,AU,2022-06-16 04:25:00,-34.5833,150.8552,69.19,57,79,7.0
244,Pizhanka,RU,2022-06-16 04:25:01,57.4604,48.542,62.29,84,90,6.31
245,Gizo,SB,2022-06-16 04:25:01,-8.103,156.8419,84.04,71,86,10.92
246,Luziania,BR,2022-06-16 04:25:01,-16.2525,-47.9503,65.89,78,53,6.04
247,Banikoara,BJ,2022-06-16 04:25:02,11.2985,2.4386,74.62,82,100,5.93
248,Kolaras,IN,2022-06-16 04:25:02,25.2333,77.6,82.17,60,91,16.75
249,Kaka,TM,2022-06-16 04:25:03,37.3482,59.6143,87.49,29,21,8.14
250,Guerrero Negro,MX,2022-06-16 04:25:03,27.9769,-114.0611,63.0,84,0,14.85
251,Makat,KZ,2022-06-16 04:25:04,47.6469,53.3463,83.62,19,62,9.86
252,Monrovia,LR,2022-06-16 04:25:04,6.3005,-10.7969,76.69,87,100,12.24
253,Souillac,MU,2022-06-16 04:25:05,-20.5167,57.5167,73.78,83,20,10.36
254,Tarauaca,BR,2022-06-16 04:25:05,-8.1614,-70.7656,70.0,87,3,1.21
255,Pryluky,UA,2022-06-16 04:25:06,50.5932,32.3876,55.8,82,99,6.42
256,Olafsvik,IS,2022-06-16 04:25:06,64.8945,-23.7142,47.86,71,92,13.69
257,Pundaguitan,PH,2022-06-16 04:25:07,6.3711,126.1689,82.09,76,73,6.96
258,Ulladulla,AU,2022-06-16 04:25:07,-35.35,150.4667,59.77,53,70,12.46
259,Khatanga,RU,2022-06-16 04:25:08,71.9667,102.5,70.59,30,73,10.4
260,Aginskoye,RU,2022-06-16 04:25:08,51.1,114.53,75.38,38,0,6.89
261,Lasa,IT,2022-06-16 04:25:09,46.6166,10.7002,61.68,74,13,4.47
262,Port Blair,IN,2022-06-16 04:25:09,11.6667,92.75,86.04,70,75,9.22
263,Ihlow,DE,2022-06-16 04:25:10,51.8833,13.3333,59.43,71,99,3.69
264,Athabasca,CA,2022-06-16 04:21:47,54.7169,-113.2854,63.01,62,100,7.49
